,Band1,Band2,Band3,Band4,Band5,Band6,Band7,Band8,Band9,Band10,Band11,Band12,Band13,Band14,Band15,Band16,Band17,Band18,Band19,Band20,Band21,Band22,Band23,Band24,Band25,Band26,Band27,Band28,Band29,Band30,Band31,Band32,Band33,Band34,Band35,Band36,Band37,Band38,Band39,Band40,Band41,Band42,id,dust
0,0.0323177204518,0.019640804785,0.0930574516824,0.0525467479165,0.0144501219693,0.0131282763323,0.0095698629666,0.138971581672,0.111445137291,0.0832118128718,0.0620671820697,0.0556399040899,0.0317434565314,0.0316470538262,0.0310182342577,0.0584155158654,0.0252693239583,0.0201518196224,0.0136743776626,0.00573934297616,0.00787885997205,0.00032570706791,299.675987516,297.629640686,298.019707956,295.320770795,248.695632238,272.56026857,246.367165842,259.92356017,292.353043749,275.990275184,294.55234687,293.213420906,271.268233825,259.699169502,250.52702193,230.981596657,34.63,-45.62,18.07,-97.48,0,0.0
1,0.041665821409,0.0301804892661,0.0996624758554,0.0603510477958,0.0302748495087,2.38963803195,0.0243704584864,0.145050207428,0.117996109501,0.090569744404,0.069639216911,0.0631390928649,0.0412284083126,0.0759091188267,0.040769557655,0.0584155158654,0.0355183279591,0.0312014678833,0.0213934382761,0.00758257893365,0.0118050159152,0.00032570706791,301.238747726,300.411140422,298.714069351,295.520228297,249.120697424,272.411070116,246.515865309,260.392277888,291.976847221,275.893485973,294.275194741,292.920918202,271.092253144,259.878882539,250.379824917,230.60919896,34.59,-45.66,18.07,-98.94,0,0.0
2,0.0417192391287,0.0299162631927,0.0998459487491,0.0601526333921,0.0402658851162,2.38963803195,0.0340889218096,0.144480859561,0.117604422074,0.090118732839,0.0697882929534,0.063590171889,0.0414283704659,0.0759091188267,0.0408140955441,0.0584155158654,0.0357632490106,0.0311687705702,0.021613982865,0.00768691304445,0.0117791859419,0.00027570522108,302.037646506,298.451565254,299.0158588,295.684859685,249.056687729,272.241014713,246.284549706,260.378950862,291.915112154,275.815971116,294.22163288,292.846449354,271.049851033,259.53919393,250.586411546,230.912482019,34.59,-45.66,18.07,-98.94,0,0.0
3,0.0450845554733,0.0346429740603,0.104909800615,0.0658735820325,0.0159588353999,0.0139670273202,0.0115016676027,0.149320316431,0.122813864848,0.0957885925135,0.0754634636695,0.0692085222333,0.0455263900188,0.0759091188267,0.0447804420059,0.0584155158654,0.0396678557737,0.0356299102324,0.0243046268503,0.008452029857,0.0134064742605,0.000125699680589,299.789783983,297.350439217,298.179105552,295.466271433,248.733909406,272.478307467,246.536407186,260.093734068,292.182273318,276.109489372,294.528061753,293.198563546,271.349624055,259.68489481,250.308987457,231.243289179,34.59,-45.66,18.07,-98.94,0,0.0
4,0.0329053153691,0.0201986153843,0.0937913432572,0.0530427839258,0.0124049770966,2.38963803195,0.00787581890108,0.140177259508,0.112561446457,0.0842749115608,0.0625709562818,0.0559298834625,0.0319940115188,0.031934552973,0.0313275251546,0.0584155158654,0.0256013803838,0.0204195288737,0.0140934123816,0.00518289438521,0.00790468994536,0.000350707991325,299.513663873,299.901155319,298.034782644,295.368222063,248.969798896,272.396106599,246.364873455,260.383393625,292.414428549,276.151333825,294.600901877,293.193610721,271.157459559,259.619208915,250.484581305,230.781260878,34.59,-45.66,18.07,-98.94,0,0.0
5,0.0322643027321,0.0189068434702,0.0939748161509,0.0524475407146,0.0127402467479,0.0107578931056,0.00757861818784,0.140545661069,0.112385187115,0.083430875632,0.0616148133894,0.0549471755887,0.031032747673,0.0309521672245,0.0303872808281,0.0584155158654,0.0245581109049,0.0191668130639,0.0133215063203,0.00532200653295,0.0077497101055,0.000925729229871,299.502561647,295.912626074,298.107033131,295.37838025,249.378671471,272.463379734,246.793351983,260.788137356,292.757962633,276.061180444,294.610610443,293.228276593,271.258463502,259.530617665,250.611854514,230.726331422,34.55,-45.7,18.07,-97.46,1,0.0
6,0.03707189751,0.0248372508941,0.0975708848673,0.0566803813272,0.0164282129117,2.38963803195,0.0118285883873,0.14359334671,0.115969127068,0.0874191064712,0.0656758504055,0.0590914641222,0.0362799473122,0.0361969897162,0.0357862627242,0.0584155158654,0.0302831404835,0.0253220822634,0.0174456901337,0.00664357193644,0.00976444802371,0.00022570337425,299.928642954,297.629640686,298.271937123,295.408833807,249.169524927,272.443463745,244.819673419,260.737459039,292.168595305,276.032181251,294.537776409,293.149026918,271.088991945,259.616352175,250.425137128,230.793197754,34.55,-45.7,18.07,-97.46,1,0.0
7,0.0349886064396,0.0222537070658,0.0966902149776,0.0558205855777,0.0292019866247,0.0284081312857,0.0215767717818,0.143040744368,0.114911571016,0.0863753368493,0.0654650877249,0.0594942132509,0.0346441123466,0.0345918831436,0.0337746347308,0.0584155158654,0.0283567422131,0.0230986649696,0.0161224226,0.00626101353016,0.00891205890447,0.00027570522108,300.888776612,298.451565254,298.652157327,295.607698135,249.326564322,272.368652759,246.566058567,260.593941724,292.0453836,275.87088515,294.255720566,293.000305198,271.115079193,259.736275602,250.402483339,231.069702763,34.55,-45.7,18.07,-97.46,1,0.0
8,0.03707189751,0.0246611001785,0.098451554757,0.0579039368167,0.0190433161915,0.021625188514,0.0141170338793,0.144665060342,0.11673291755,0.0883404586683,0.0675778550839,0.0614072716118,0.0369858378054,0.0759091188267,0.0361623604549,0.0584155158654,0.0306505220607,0.0254324356953,0.0173133633804,0.00674790604724,0.0100227477568,0.00105073384695,300.236759809,299.642835117,298.39128655,295.412215592,249.311654687,272.463379734,246.070260296,260.418920583,292.124124958,275.851507986,294.377380495,293.049897766,271.229148033,259.687749887,250.450617107,302.523674522,34.55,-45.7,18.07,-97.46,1,0.0
9,0.0477020237413,0.0361696135951,0.105606997611,0.0665680324455,0.0624607360296,0.0492675036803,0.0505538413236,0.15096137793,0.124409991111,0.0968774632919,0.0767691641785,0.0712625427893,0.0485378682323,0.0759091188267,0.0481702702359,0.0584155158654,0.0433416715461,0.0381782570756,0.0265100727398,0.00977359526048,0.0143880132463,-0.000249314170637,303.471272361,298.854036409,299.673103156,295.791880454,248.760665072,272.366155623,246.374042144,259.977366282,291.640131509,275.462985003,293.674858596,292.398747124,270.981325411,259.693459833,250.232432046,230.621158051,34.55,-45.7,18.07,-97.46,1,0.0
10,0.0728083520262,0.0651464063048,0.126192656284,0.089220343536,0.0697025604968,2.38963803195,0.0596779032203,0.168309742347,0.143759349985,0.11819098125,0.0994595659366,0.0931801503691,0.0753159325064,0.0759091188267,0.0752220892418,0.0584155158654,0.0700592612494,0.133274305194,0.0471309918072,0.0148859666898,0.0249783023036,0.000400709838155,304.276157554,301.405632906,299.931396898,295.905166788,249.218248033,272.256061127,246.668514055,260.416700936,291.211950094,275.326558375,293.464245824,292.234205605,270.840895533,259.887433471,250.592066042,230.707217881,34.52,-45.74,18.07,-98.91,2,0.0
11,0.10250860421,0.0978810809465,0.15074132946,0.117196774459,0.0980328460282,2.38963803195,0.0836322807081,0.1885048461,0.166957037826,0.143595818406,0.126421767391,0.119519943381,0.157117317514,0.0759091188267,0.161365789845,0.0584155158654,0.153584404838,0.133274305194,0.0701558468942,0.0207286768946,0.0368342600531,-0.000249314170637,305.144077667,299.382238756,300.184657144,295.888534242,249.113176203,271.78582263,246.187928766,260.350062637,291.042085421,275.173615674,293.439730932,292.119402572,270.902965108,259.630635184,250.425137128,230.525441963,34.52,-45.74,18.07,-98.91,2,0.0
